"filename", "language", "TypeScript", "WGSL", "comment", "blank", "total"
"d:\BaiduNetdiskDownload\Web-RTRT\src\camera.ts", "TypeScript", 35, 0, 6, 1, 42
"d:\BaiduNetdiskDownload\Web-RTRT\src\denoiser.ts", "TypeScript", 444, 0, 2, 31, 477
"d:\BaiduNetdiskDownload\Web-RTRT\src\device.ts", "TypeScript", 0, 0, 0, 2, 2
"d:\BaiduNetdiskDownload\Web-RTRT\src\main.ts", "TypeScript", 15, 0, 0, 2, 17
"d:\BaiduNetdiskDownload\Web-RTRT\src\raytracing.ts", "TypeScript", 47, 0, -3, 1, 45
"d:\BaiduNetdiskDownload\Web-RTRT\src\screenBuffer.ts", "TypeScript", 1, 0, -4, 0, -3
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\denoise\atrous.wgsl", "WGSL", 0, 81, 18, 11, 110
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\denoise\denoiseAccum.wgsl", "WGSL", 0, 26, 4, 5, 35
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\denoise\denoiseCommon.wgsl", "WGSL", 0, 10, 1, 3, 14
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\denoise\filterVariance.wgsl", "WGSL", 0, 54, 2, 9, 65
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\denoise\firefly.wgsl", "WGSL", 0, 88, 8, 12, 108
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\denoise\preloadInvoker.wgsl", "WGSL", 0, 13, 0, 0, 13
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\denoise\temperalAccum.wgsl", "WGSL", 0, 154, 14, 18, 186
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\display.wgsl", "WGSL", 0, 9, -2, 1, 8
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\manager.ts", "TypeScript", 16, 0, 0, 4, 20
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\BSDF.wgsl", "WGSL", 0, -10, 10, 0, 0
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\accumulate.wgsl", "WGSL", 0, 15, 3, 1, 19
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\common.wgsl", "WGSL", 0, -20, -1, 0, -21
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\rayGen.wgsl", "WGSL", 0, 86, 16, 0, 102
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\reservoir.wgsl", "WGSL", 0, 11, 0, 1, 12
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\sampleInit.wgsl", "WGSL", 0, 1, 2, -1, 2
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\spatialReuse.wgsl", "WGSL", 0, 16, 1, 1, 18
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\trace.wgsl", "WGSL", 0, 1, 10, 1, 12
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\utils.wgsl", "WGSL", 0, 37, 23, 13, 73
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\vBuffer.wgsl", "WGSL", 0, 8, 0, 1, 9
"d:\BaiduNetdiskDownload\Web-RTRT\src\vBuffer.ts", "TypeScript", 8, 0, 0, 0, 8
"Total", "-", 566, 580, 110, 117, 1373
