"filename", "language", "JSON with Comments", "JSON", "source.markdown.math", "JavaScript", "TypeScript", "HTML", "WGSL", "WebAssembly Text Format", "comment", "blank", "total"
"d:\BaiduNetdiskDownload\Web-RTRT\docs\assets\box\scene.gltf", "JSON", 0, 714, 0, 0, 0, 0, 0, 0, 0, 1, 715
"d:\BaiduNetdiskDownload\Web-RTRT\docs\assets\computeWorker-ybDwvYxD.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\BaiduNetdiskDownload\Web-RTRT\docs\assets\index-CZj4xNXv.js", "JavaScript", 0, 0, 0, 4725, 0, 0, 0, 0, 810, 8, 5543
"d:\BaiduNetdiskDownload\Web-RTRT\docs\assets\room\scene.gltf", "JSON", 0, 812, 0, 0, 0, 0, 0, 0, 0, 0, 812
"d:\BaiduNetdiskDownload\Web-RTRT\docs\assets\sea\scene.gltf", "JSON", 0, 326, 0, 0, 0, 0, 0, 0, 0, 0, 326
"d:\BaiduNetdiskDownload\Web-RTRT\docs\assets\sponza\sponza.gltf", "JSON", 0, 2835, 0, 0, 0, 0, 0, 0, 0, 0, 2835
"d:\BaiduNetdiskDownload\Web-RTRT\docs\assets\stanford_bunny\bunny.gltf", "JSON", 0, 129, 0, 0, 0, 0, 0, 0, 0, 1, 130
"d:\BaiduNetdiskDownload\Web-RTRT\docs\index.html", "HTML", 0, 0, 0, 0, 0, 64, 0, 0, 1, 3, 68
"d:\BaiduNetdiskDownload\Web-RTRT\docs\three\draco\README.md", "source.markdown.math", 0, 0, 20, 0, 0, 0, 0, 0, 0, 13, 33
"d:\BaiduNetdiskDownload\Web-RTRT\docs\three\draco\draco_decoder.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 4, 7, 35
"d:\BaiduNetdiskDownload\Web-RTRT\docs\three\draco\draco_decoder.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 6629, 0, 65, 6694
"d:\BaiduNetdiskDownload\Web-RTRT\docs\three\draco\draco_encoder.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 3, 11, 34
"d:\BaiduNetdiskDownload\Web-RTRT\docs\three\draco\draco_wasm_wrapper.js", "JavaScript", 0, 0, 0, 117, 0, 0, 0, 0, 0, 1, 118
"d:\BaiduNetdiskDownload\Web-RTRT\docs\three\draco\gltf\draco_decoder.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 4, 7, 34
"d:\BaiduNetdiskDownload\Web-RTRT\docs\three\draco\gltf\draco_decoder.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 4310, 0, 47, 4357
"d:\BaiduNetdiskDownload\Web-RTRT\docs\three\draco\gltf\draco_encoder.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 3, 11, 34
"d:\BaiduNetdiskDownload\Web-RTRT\docs\three\draco\gltf\draco_wasm_wrapper.js", "JavaScript", 0, 0, 0, 116, 0, 0, 0, 0, 0, 1, 117
"d:\BaiduNetdiskDownload\Web-RTRT\index.html", "HTML", 0, 0, 0, 0, 0, 64, 0, 0, 1, 3, 68
"d:\BaiduNetdiskDownload\Web-RTRT\package.json", "JSON", 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"d:\BaiduNetdiskDownload\Web-RTRT\public\assets\box\scene.gltf", "JSON", 0, 714, 0, 0, 0, 0, 0, 0, 0, 1, 715
"d:\BaiduNetdiskDownload\Web-RTRT\public\assets\room\scene.gltf", "JSON", 0, 812, 0, 0, 0, 0, 0, 0, 0, 0, 812
"d:\BaiduNetdiskDownload\Web-RTRT\public\assets\sea\scene.gltf", "JSON", 0, 326, 0, 0, 0, 0, 0, 0, 0, 0, 326
"d:\BaiduNetdiskDownload\Web-RTRT\public\assets\sponza\sponza.gltf", "JSON", 0, 2835, 0, 0, 0, 0, 0, 0, 0, 0, 2835
"d:\BaiduNetdiskDownload\Web-RTRT\public\assets\stanford_bunny\bunny.gltf", "JSON", 0, 129, 0, 0, 0, 0, 0, 0, 0, 1, 130
"d:\BaiduNetdiskDownload\Web-RTRT\public\three\draco\README.md", "source.markdown.math", 0, 0, 20, 0, 0, 0, 0, 0, 0, 13, 33
"d:\BaiduNetdiskDownload\Web-RTRT\public\three\draco\draco_decoder.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 4, 7, 35
"d:\BaiduNetdiskDownload\Web-RTRT\public\three\draco\draco_decoder.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 6629, 0, 65, 6694
"d:\BaiduNetdiskDownload\Web-RTRT\public\three\draco\draco_encoder.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 3, 11, 34
"d:\BaiduNetdiskDownload\Web-RTRT\public\three\draco\draco_wasm_wrapper.js", "JavaScript", 0, 0, 0, 117, 0, 0, 0, 0, 0, 1, 118
"d:\BaiduNetdiskDownload\Web-RTRT\public\three\draco\gltf\draco_decoder.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 4, 7, 34
"d:\BaiduNetdiskDownload\Web-RTRT\public\three\draco\gltf\draco_decoder.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 4310, 0, 47, 4357
"d:\BaiduNetdiskDownload\Web-RTRT\public\three\draco\gltf\draco_encoder.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 3, 11, 34
"d:\BaiduNetdiskDownload\Web-RTRT\public\three\draco\gltf\draco_wasm_wrapper.js", "JavaScript", 0, 0, 0, 116, 0, 0, 0, 0, 0, 1, 117
"d:\BaiduNetdiskDownload\Web-RTRT\readme.md", "source.markdown.math", 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"d:\BaiduNetdiskDownload\Web-RTRT\src\camera.ts", "TypeScript", 0, 0, 0, 0, -3, 0, 0, 0, 3, 0, 0
"d:\BaiduNetdiskDownload\Web-RTRT\src\denoiser.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 4, -3, 8
"d:\BaiduNetdiskDownload\Web-RTRT\src\device.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 1, 3, 46
"d:\BaiduNetdiskDownload\Web-RTRT\src\display.ts", "TypeScript", 0, 0, 0, 0, 717, 0, 0, 0, 32, 42, 791
"d:\BaiduNetdiskDownload\Web-RTRT\src\gltf.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, -1, 6
"d:\BaiduNetdiskDownload\Web-RTRT\src\light.ts", "TypeScript", 0, 0, 0, 0, 84, 0, 0, 0, 1, 4, 89
"d:\BaiduNetdiskDownload\Web-RTRT\src\main.ts", "TypeScript", 0, 0, 0, 0, 359, 0, 0, 0, 38, 22, 419
"d:\BaiduNetdiskDownload\Web-RTRT\src\modelView.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 8, 0, 9
"d:\BaiduNetdiskDownload\Web-RTRT\src\raytracing.ts", "TypeScript", 0, 0, 0, 0, -92, 0, 0, 0, -15, -2, -109
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\FSR2\FSR_common.wgsl", "WGSL", 0, 0, 0, 0, 0, 0, 370, 0, 30, 60, 460
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\FSR2\FXAA.wgsl", "WGSL", 0, 0, 0, 0, 0, 0, 212, 0, 61, 70, 343
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\FSR2\depthClip.wgsl", "WGSL", 0, 0, 0, 0, 0, 0, 233, 0, 69, 86, 388
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\FSR2\display.wgsl", "WGSL", 0, 0, 0, 0, 0, 0, 506, 0, 169, 198, 873
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\FSR2\lock.wgsl", "WGSL", 0, 0, 0, 0, 0, 0, 122, 0, 30, 31, 183
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\FSR2\racs.wgsl", "WGSL", 0, 0, 0, 0, 0, 0, 122, 0, 67, 17, 206
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\FSR2\reconstruct_dilated.wgsl", "WGSL", 0, 0, 0, 0, 0, 0, 212, 0, 59, 77, 348
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\denoise\atrous.wgsl", "WGSL", 0, 0, 0, 0, 0, 0, 4, 0, -4, 0, 0
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\denoise\temperalAccum.wgsl", "WGSL", 0, 0, 0, 0, 0, 0, 1, 0, 8, 1, 10
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\display.wgsl", "WGSL", 0, 0, 0, 0, 0, 0, -39, 0, -15, -7, -61
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\manager.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 1, 4, 19
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\raw_display.wgsl", "WGSL", 0, 0, 0, 0, 0, 0, 32, 0, 25, 7, 64
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\BSDF.wgsl", "WGSL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
