Date : 2024-06-01 14:30:39
Directory : d:\BaiduNetdiskDownload\Web-RTRT
Total : 64 files,  40065 codes, 1445 comments, 964 blanks, all 42474 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| WebAssembly Text Format |          4 |     21,878 |          0 |        224 |     22,102 |
| JSON                    |         11 |      9,660 |          0 |          5 |      9,665 |
| JavaScript              |         15 |      5,378 |        838 |         86 |      6,302 |
| WGSL                    |         18 |      1,815 |        527 |        543 |      2,885 |
| TypeScript              |         10 |      1,136 |         73 |         69 |      1,278 |
| HTML                    |          2 |        128 |          2 |          6 |        136 |
| source.markdown.math    |          3 |         46 |          0 |         30 |         76 |
| JSON with Comments      |          1 |         24 |          5 |          1 |         30 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                              |         64 |     40,065 |      1,445 |        964 |     42,474 |
| . (Files)                                                                      |          5 |        134 |          6 |         10 |        150 |
| docs                                                                           |         17 |     20,885 |        825 |        177 |     21,887 |
| docs (Files)                                                                   |          1 |         64 |          1 |          3 |         68 |
| docs\assets                                                                    |          7 |      9,542 |        810 |         11 |     10,363 |
| docs\assets (Files)                                                            |          2 |      4,726 |        810 |          9 |      5,545 |
| docs\assets\box                                                                |          1 |        714 |          0 |          1 |        715 |
| docs\assets\room                                                               |          1 |        812 |          0 |          0 |        812 |
| docs\assets\sea                                                                |          1 |        326 |          0 |          0 |        326 |
| docs\assets\sponza                                                             |          1 |      2,835 |          0 |          0 |      2,835 |
| docs\assets\stanford_bunny                                                     |          1 |        129 |          0 |          1 |        130 |
| docs\three                                                                     |          9 |     11,279 |         14 |        163 |     11,456 |
| docs\three\draco                                                               |          9 |     11,279 |         14 |        163 |     11,456 |
| docs\three\draco (Files)                                                       |          5 |      6,810 |          7 |         97 |      6,914 |
| docs\three\draco\gltf                                                          |          4 |      4,469 |          7 |         66 |      4,542 |
| public                                                                         |         14 |     16,095 |         14 |        165 |     16,274 |
| public\assets                                                                  |          5 |      4,816 |          0 |          2 |      4,818 |
| public\assets\box                                                              |          1 |        714 |          0 |          1 |        715 |
| public\assets\room                                                             |          1 |        812 |          0 |          0 |        812 |
| public\assets\sea                                                              |          1 |        326 |          0 |          0 |        326 |
| public\assets\sponza                                                           |          1 |      2,835 |          0 |          0 |      2,835 |
| public\assets\stanford_bunny                                                   |          1 |        129 |          0 |          1 |        130 |
| public\three                                                                   |          9 |     11,279 |         14 |        163 |     11,456 |
| public\three\draco                                                             |          9 |     11,279 |         14 |        163 |     11,456 |
| public\three\draco (Files)                                                     |          5 |      6,810 |          7 |         97 |      6,914 |
| public\three\draco\gltf                                                        |          4 |      4,469 |          7 |         66 |      4,542 |
| src                                                                            |         28 |      2,951 |        600 |        612 |      4,163 |
| src (Files)                                                                    |          9 |      1,122 |         72 |         65 |      1,259 |
| src\shaders                                                                    |         19 |      1,829 |        528 |        547 |      2,904 |
| src\shaders (Files)                                                            |          4 |          8 |         26 |          6 |         40 |
| src\shaders\FSR2                                                               |          7 |      1,777 |        485 |        539 |      2,801 |
| src\shaders\denoise                                                            |          2 |          5 |          4 |          1 |         10 |
| src\shaders\tracing                                                            |          6 |         39 |         13 |          1 |         53 |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| filename                                                                       | language                | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| d:\BaiduNetdiskDownload\Web-RTRT\docs\assets\box\scene.gltf                    | JSON                    |        714 |          0 |          1 |        715 |
| d:\BaiduNetdiskDownload\Web-RTRT\docs\assets\computeWorker-ybDwvYxD.js         | JavaScript              |          1 |          0 |          1 |          2 |
| d:\BaiduNetdiskDownload\Web-RTRT\docs\assets\index-CZj4xNXv.js                 | JavaScript              |      4,725 |        810 |          8 |      5,543 |
| d:\BaiduNetdiskDownload\Web-RTRT\docs\assets\room\scene.gltf                   | JSON                    |        812 |          0 |          0 |        812 |
| d:\BaiduNetdiskDownload\Web-RTRT\docs\assets\sea\scene.gltf                    | JSON                    |        326 |          0 |          0 |        326 |
| d:\BaiduNetdiskDownload\Web-RTRT\docs\assets\sponza\sponza.gltf                | JSON                    |      2,835 |          0 |          0 |      2,835 |
| d:\BaiduNetdiskDownload\Web-RTRT\docs\assets\stanford_bunny\bunny.gltf         | JSON                    |        129 |          0 |          1 |        130 |
| d:\BaiduNetdiskDownload\Web-RTRT\docs\index.html                               | HTML                    |         64 |          1 |          3 |         68 |
| d:\BaiduNetdiskDownload\Web-RTRT\docs\three\draco\README.md                    | source.markdown.math    |         20 |          0 |         13 |         33 |
| d:\BaiduNetdiskDownload\Web-RTRT\docs\three\draco\draco_decoder.js             | JavaScript              |         24 |          4 |          7 |         35 |
| d:\BaiduNetdiskDownload\Web-RTRT\docs\three\draco\draco_decoder.wasm           | WebAssembly Text Format |      6,629 |          0 |         65 |      6,694 |
| d:\BaiduNetdiskDownload\Web-RTRT\docs\three\draco\draco_encoder.js             | JavaScript              |         20 |          3 |         11 |         34 |
| d:\BaiduNetdiskDownload\Web-RTRT\docs\three\draco\draco_wasm_wrapper.js        | JavaScript              |        117 |          0 |          1 |        118 |
| d:\BaiduNetdiskDownload\Web-RTRT\docs\three\draco\gltf\draco_decoder.js        | JavaScript              |         23 |          4 |          7 |         34 |
| d:\BaiduNetdiskDownload\Web-RTRT\docs\three\draco\gltf\draco_decoder.wasm      | WebAssembly Text Format |      4,310 |          0 |         47 |      4,357 |
| d:\BaiduNetdiskDownload\Web-RTRT\docs\three\draco\gltf\draco_encoder.js        | JavaScript              |         20 |          3 |         11 |         34 |
| d:\BaiduNetdiskDownload\Web-RTRT\docs\three\draco\gltf\draco_wasm_wrapper.js   | JavaScript              |        116 |          0 |          1 |        117 |
| d:\BaiduNetdiskDownload\Web-RTRT\index.html                                    | HTML                    |         64 |          1 |          3 |         68 |
| d:\BaiduNetdiskDownload\Web-RTRT\package.json                                  | JSON                    |         28 |          0 |          1 |         29 |
| d:\BaiduNetdiskDownload\Web-RTRT\public\assets\box\scene.gltf                  | JSON                    |        714 |          0 |          1 |        715 |
| d:\BaiduNetdiskDownload\Web-RTRT\public\assets\room\scene.gltf                 | JSON                    |        812 |          0 |          0 |        812 |
| d:\BaiduNetdiskDownload\Web-RTRT\public\assets\sea\scene.gltf                  | JSON                    |        326 |          0 |          0 |        326 |
| d:\BaiduNetdiskDownload\Web-RTRT\public\assets\sponza\sponza.gltf              | JSON                    |      2,835 |          0 |          0 |      2,835 |
| d:\BaiduNetdiskDownload\Web-RTRT\public\assets\stanford_bunny\bunny.gltf       | JSON                    |        129 |          0 |          1 |        130 |
| d:\BaiduNetdiskDownload\Web-RTRT\public\three\draco\README.md                  | source.markdown.math    |         20 |          0 |         13 |         33 |
| d:\BaiduNetdiskDownload\Web-RTRT\public\three\draco\draco_decoder.js           | JavaScript              |         24 |          4 |          7 |         35 |
| d:\BaiduNetdiskDownload\Web-RTRT\public\three\draco\draco_decoder.wasm         | WebAssembly Text Format |      6,629 |          0 |         65 |      6,694 |
| d:\BaiduNetdiskDownload\Web-RTRT\public\three\draco\draco_encoder.js           | JavaScript              |         20 |          3 |         11 |         34 |
| d:\BaiduNetdiskDownload\Web-RTRT\public\three\draco\draco_wasm_wrapper.js      | JavaScript              |        117 |          0 |          1 |        118 |
| d:\BaiduNetdiskDownload\Web-RTRT\public\three\draco\gltf\draco_decoder.js      | JavaScript              |         23 |          4 |          7 |         34 |
| d:\BaiduNetdiskDownload\Web-RTRT\public\three\draco\gltf\draco_decoder.wasm    | WebAssembly Text Format |      4,310 |          0 |         47 |      4,357 |
| d:\BaiduNetdiskDownload\Web-RTRT\public\three\draco\gltf\draco_encoder.js      | JavaScript              |         20 |          3 |         11 |         34 |
| d:\BaiduNetdiskDownload\Web-RTRT\public\three\draco\gltf\draco_wasm_wrapper.js | JavaScript              |        116 |          0 |          1 |        117 |
| d:\BaiduNetdiskDownload\Web-RTRT\readme.md                                     | source.markdown.math    |          6 |          0 |          4 |         10 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\camera.ts                                 | TypeScript              |         -3 |          3 |          0 |          0 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\denoiser.ts                               | TypeScript              |          7 |          4 |         -3 |          8 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\device.ts                                 | TypeScript              |         42 |          1 |          3 |         46 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\display.ts                                | TypeScript              |        717 |         32 |         42 |        791 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\gltf.ts                                   | TypeScript              |          7 |          0 |         -1 |          6 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\light.ts                                  | TypeScript              |         84 |          1 |          4 |         89 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\main.ts                                   | TypeScript              |        359 |         38 |         22 |        419 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\modelView.ts                              | TypeScript              |          1 |          8 |          0 |          9 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\raytracing.ts                             | TypeScript              |        -92 |        -15 |         -2 |       -109 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\FSR2\FSR_common.wgsl              | WGSL                    |        370 |         30 |         60 |        460 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\FSR2\FXAA.wgsl                    | WGSL                    |        212 |         61 |         70 |        343 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\FSR2\depthClip.wgsl               | WGSL                    |        233 |         69 |         86 |        388 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\FSR2\display.wgsl                 | WGSL                    |        506 |        169 |        198 |        873 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\FSR2\lock.wgsl                    | WGSL                    |        122 |         30 |         31 |        183 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\FSR2\racs.wgsl                    | WGSL                    |        122 |         67 |         17 |        206 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\FSR2\reconstruct_dilated.wgsl     | WGSL                    |        212 |         59 |         77 |        348 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\denoise\atrous.wgsl               | WGSL                    |          4 |         -4 |          0 |          0 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\denoise\temperalAccum.wgsl        | WGSL                    |          1 |          8 |          1 |         10 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\display.wgsl                      | WGSL                    |        -39 |        -15 |         -7 |        -61 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\manager.ts                        | TypeScript              |         14 |          1 |          4 |         19 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\raw_display.wgsl                  | WGSL                    |         32 |         25 |          7 |         64 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\BSDF.wgsl                 | WGSL                    |          0 |          1 |          1 |          2 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\accumulate.wgsl           | WGSL                    |          7 |          9 |          1 |         17 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\rayGen.wgsl               | WGSL                    |         24 |         -3 |         -3 |         18 |
| d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\reservoir.wgsl            | WGSL                    |         -4 |          5 |          0 |          1 |
